year,month,day,day_of_week,flight_number,dest,departure_time,closest_hour_crs_dep,op_unique_carrier
2025,3,27,5,AA560,CLE,2025-03-27 19:40:00 CDT,20,AA
2025,3,27,5,AA2198,MKE,2025-03-27 19:40:00 CDT,20,AA
2025,3,27,5,AA1563,FSD,2025-03-27 19:40:00 CDT,20,AA
2025,3,27,5,UA2330,DEN,2025-03-27 19:39:00 CDT,20,UA
2025,3,27,5,AA3735,AGU,2025-03-27 19:37:00 CDT,20,AA
2025,3,27,5,AA6470,DRO,2025-03-27 19:36:00 CDT,20,AA
2025,3,27,5,9X409,HRO,2025-03-27 19:35:00 CDT,20,9X
2025,3,27,5,UA424,IAH,2025-03-27 19:31:00 CDT,20,UA
2025,3,27,5,AA2469,MDT,2025-03-27 19:31:00 CDT,20,AA
2025,3,27,5,BA192,LHR,2025-03-27 19:30:00 CDT,20,BA
2025,3,27,5,AA4032,ILM,2025-03-27 19:30:00 CDT,20,AA
2025,3,27,5,AA364,SJC,2025-03-27 19:30:00 CDT,20,AA
2025,3,27,5,AA1303,GEG,2025-03-27 19:30:00 CDT,20,AA
2025,3,27,5,AA3571,BMI,2025-03-27 19:29:00 CDT,19,AA
2025,3,27,5,UA1396,SFO,2025-03-27 19:26:00 CDT,19,UA
2025,3,27,5,AA5007,YUM,2025-03-27 19:25:00 CDT,19,AA
2025,3,27,5,AA3601,MLI,2025-03-27 19:25:00 CDT,19,AA
2025,3,27,5,AA4190,GRK,2025-03-27 19:24:00 CDT,19,AA
2025,3,27,5,AA1110,BFL,2025-03-27 19:21:00 CDT,19,AA
2025,3,27,5,AA3574,PIA,2025-03-27 19:21:00 CDT,19,AA
2025,3,27,5,AA3551,FAR,2025-03-27 19:20:00 CDT,19,AA
2025,3,27,5,AA3658,FWA,2025-03-27 19:16:00 CDT,19,AA
2025,3,27,5,AA1726,LGA,2025-03-27 19:16:00 CDT,19,AA
2025,3,27,5,AA1267,RSW,2025-03-27 19:16:00 CDT,19,AA
2025,3,27,5,DL846,LGA,2025-03-27 19:15:00 CDT,19,DL
2025,3,27,5,QF7558,LAX,2025-03-27 19:15:00 CDT,19,QF
2025,3,27,5,AA3452,AVL,2025-03-27 19:15:00 CDT,19,AA
2025,3,27,5,AA240,FCO,2025-03-27 19:15:00 CDT,19,AA
2025,3,27,5,AA5492,SHV,2025-03-27 19:15:00 CDT,19,AA
2025,3,27,5,AA3487,BIL,2025-03-27 19:15:00 CDT,19,AA
2025,3,27,5,AA618,EWR,2025-03-27 19:13:00 CDT,19,AA
2025,3,27,5,AA3685,CRP,2025-03-27 19:12:00 CDT,19,AA
2025,3,27,5,AA2752,DCA,2025-03-27 19:10:00 CDT,19,AA
2025,3,27,5,9X427,ELD,2025-03-27 19:10:00 CDT,19,9X
